style_simple,full_name
Bock,Le Trou Du Diable La Shawinigan Handshake
Bock,Les Trois Mousquetaires WeizenBock Grande Cuvée
Bock,Cervejaria Sudbrack Ltda Eisenbahn Vigorosa (WeizenBock)
Bock,Fat Heads Brewery & Saloon Alpen Glow WeizenBock
Bock,Peak Organic Brewing Company Peak Organic Weiss Principal
Bock,Atwater Block Brewery Teufel Bock
Bock,"Bayern Brewing, Inc. Face Plant Doppelweizen"
Bock,Weissbierbrauerei Hopf Hopf Weisser Bock
Bock,Rahr & Sons Brewing Company Angry Goat
Bock,Pennsylvania Brewing Company WeizenBock
Bock,Appalachian Brewing Company Volks WeizenBock
Bock,Scuttlebutt Brewing Company Weizen Bock
Bock,Heineken Nederland B.V. Heineken Tarwebok
Bock,Olde Hickory Brewery WeizenBock
Bock,Heavy Seas Beer Heavy Seas - Yule Tide
Bock,Aktien-Brauerei Kaufbeuren AG St. Blasius WeizenBock
Bock,Blue Mountain Brewery Summer Haze Pale WeizenBock
Bock,Urban Chestnut Brewing Company Maximilian
Bock,Mill Street Brew Pub Mill Street WeizenBock
Bock,Portsmouth Brewery Portsmouth WeizenBock
Bock,Les Brasseurs Du Temps DumDuminator
Hybrid Beer,Kuhnhenn Brewing Company Kuhnhenn Braggot
Hybrid Beer,Jackie O's Pub & Brewery Baklava Braggot
Hybrid Beer,The People's Pint Slippery Slope
Hybrid Beer,Dansk Mjød A/S Old Danish Braggot
Hybrid Beer,Portsmouth Brewery Portsmouth Killer Bee
Hybrid Beer,Rabbit's Foot Meadery Biere De Miele
Hybrid Beer,Valkyrie Brewing Mjød
Hybrid Beer,"White Winter Winery, Inc. Premium Oak Brackett"
Hybrid Beer,Mountain Sun Pub & Brewery Hummingbird
Hybrid Beer,Crabtree Brewing Company Braggot
Hybrid Beer,"White Winter Winery, Inc. White Winter Brackett"
Hybrid Beer,"South Street Brewery Honey, I Can Explain"
Hybrid Beer,Saku Brewery LTD Saku Mõdu
Hybrid Beer,Craftsman Brewing Co. Craftsman Spring Braggot
Wild/Sour,Russian River Brewing Company Sanctification
Wild/Sour,Victory Brewing Company Wild Devil
